Coin, Previous, Current
FET, 306.99K, 3.18M
ETH, 280.74, 1.28K
USDT, 4.59M, 5.89M
WLD, 100.17K, 600.17K
MPL, 0, 55.35K
USDE, 8.89K, 1.05M
USDC, 30.46K, 967.82K
ZRO, 373.56K, 590.83K
CTC, 474.82K, 874.82K
ML, 0, 1.3M
FLT, 2.02M, 2.2M
PRIME, 327.8K, 322.6K
ATA, 2.42M, 3.82M
XAI, 771.99K, 1.2M
ALCX, 59.68, 6.06K
1INCH, 78.97, 270.07K
BADGER, 133.9K, 153.39K
CTSI, 4.38M, 5.15M
PRQ, 3.82M, 4.46M
OBI, 6.4M, 10.5M
00, 3.15M, 4.25M
CROWN, 433.66K, 479.64K
BETA, 1.97M, 2.62M
MLN, 6.45K, 7.93K
VGX, 4.11M, 4.55M
UNFI, 94.95K, 98.75K
PBX, 349.97M, 349.97M
EVERY, 31.88M, 31.88M
PYUSD, 0, 2.99K
RCN, 17.06M, 17.06M
KAP, 1.45M, 1.45M
PDEX, 215.3K, 215.3K
RFUEL, 21.59M, 21.59M
ENA, 0, 1.58K
SFTY, 9.38M, 9.38M
OSHI, 449.95K, 449.95K
MTRM, 600.42K, 600.42K
OXT, 4.16M, 4.17M
MKR, 2.67, 2.67
API3, 17K, 17K
CWS, 42.33K, 42.33K
FLX, 90.11K, 90.11K
LRC, 18, 943.28
$QTDAO, 0, 316.15M
LUSD, 107.92K, 107.92K
JASMY, 16.38K, 16.38K
XVS, 105.59, 105.59
SYLO, 356.42K, 356.42K
LTX, 36.97K, 36.97K
MIMO, 2.09M, 2.09M
DODO, 273.49, 273.49
WAXP, 725.35, 725.35
LMWR, 0, 2
GOG, 735.65, 735.65
DEOD, 48.29, 48.29
B2M, 296.64, 296.64
KOIN, 1M, 1M
WXT, 23.11, 23.11
INS, 500K, 500K
FUSE, 4.9, 4.9
SUSHI, 0.26, 0.26
MTV, 1K, 1K
CHO, 7.5, 7.5
S315, 3.15, 3.15
PERP, 0.74, 0.74
ID, 7.88, 7.88
SXP, 14.69, 14.69
BTL, 367.28, 367.28
OPUL, 40.76, 40.76
COMP, 0.49, 0.49
GT, 5, 5
WACME, 632.74, 632.74
LIME, 100, 100
VLX, 3.14K, 3.14K
ICHI, 27.93, 27.93
WILD, 57.6, 57.6
ELS, 650.51, 650.51
CQT, 371.11, 371.11
LPT, 3.12, 3.12
NGM, 16.24K, 16.24K
PLOT, 3.43K, 3.43K
GXT, 250.02K, 250.02K
BSW, 2.41K, 2.41K
LBP, 227.98K, 227.98K
VSP, 211.87, 211.87
PAR, 775.84, 775.84
SPS, 12.85K, 12.85K
LINK, 27.42, 27.42
CXT, 371.11, 371.11
BTRST, 270.68, 270.68
CRE8, 318.62K, 318.62K
SNX, 737.76, 737.76
JAM, 152.16K, 152.16K
REC, 169.89, 0
LMR, 86.33K, 86.33K
PUSH, 1.59K, 1.59K
TAIKO, 97.06, 97.06
BIST, 16.02K, 16.02K
PLT, 26.64K, 26.64K
WOO, 3.61K, 3.61K
CAST, 1.89K, 1.89K
WBTC, 0.1, 0.1
SKL, 7.3K, 5.77K
PIRATE, 812.2, 660.26
AES, 683.8K, 683.8K
KEY, 780.73K, 780.73K
CRO, 42.75K, 42.75K
HT, 1.1K, 1.1K
MATIC, 10.6K, 10.6K
CLV, 52.4K, 52.4K
SPWN, 37.44M, 0
ENQAI, 100K, 100K
POLI, 12.54M, 12.54M
ONT, 76.98K, 76.98K
LQTY, 569.07, 0
BNB, 2.92, 2.13
VOXEL, 29.26K, 29.26K
ILV, 72.86, 72.86
OPEN, 1.47M, 1.47M
ATOM, 6.95K, 6.95K
FEVR, 20.23M, 20.23M
GG, 537.37K, 537.37K
FDUSD, 1.39M, 1.39M
UNI, 11.93K, 11.93K
DAR, 93.26K, 93.26K
NRN, 55.1K, 99.85
WBNB, 161.86, 161.86
BMI, 1.38M, 1.38M
RLC, 19.6K, 19.6K
EDEN, 2.95M, 2.95M
WECAN, 320.73M, 320.73M
NUTS, 1.9M, 1.9M
HOPR, 231.87K, 231.87K
RARI, 32.69K, 32.69K
ZTX, 6.41M, 6.41M
GRT, 356.46K, 356.46K
TOKE, 255.32K, 255.32K
RBN, 56.23K, 56.23K
OFN, 140K, 140K
SDAO, 206.96K, 206.96K
LOOM, 1.5M, 1.5M
ZEND, 598.25K, 598.25K
ARKM, 132.33K, 135.29K
NXRA, 5.23M, 5.23M
THALES, 955K, 955K
WFTM, 204.82K, 204.82K
AVAX, 2.85K, 2.85K
SHRAP, 1.56M, 1.56M
MASA, 10.52M, 11.53M
HVH, 32.47M, 32.39M
FIL, 300K, 300K
BOBA, 1.04M, 1.04M
RSR, 9.61M, 6.11M
SOMM, 3.79M, 3.79M
SUKU, 4.72M, 4.75M
PORK, 692.73B, 502.73B
GEL, 2.5M, 2.5M
MYTH, 4.35M, 4.35M
PSP, 16.83M, 16.83M
VC, 9.06M, 9.06M
RADAR, 49.31M, 43.61M
RARE, 13.29M, 14.05M
CVC, 9.23M, 8.46M
OM, 438.74K, 442.73K
BIGTIME, 26.06M, 25.63M
BEAM, 4.8M, 1.6M
TRUF, 2.16M, 2.05M
LIF3, 76.27M, 76.27M
DMTR, 9.65M, 9.65M
PIXEL, 5.28M, 5.57M
RENDER, 13.67K, 0
MASK, 45.39K, 6.43K
MYRIA, 51.99M, 21.39M
STG, 817.68K, 582.67K
KLIMA, 92.94K, 80.64K
BOSON, 3.45M, 3.4M
ECOX, 3.18M, 2.48M
DIMO, 6.92M, 6.92M
ALT, 7.2M, 6.07M
GALA, 229.67M, 230.59M
SAFE, 953.77K, 791.77K
KARRAT, 6.55M, 6M
STETH, 823.25, 543.63
HFT, 8.32M, 3.53M
